id,model,task,prompt,output
1,claude-sonnet-5,summarization,"নিচের অনুচ্ছেদটি দুই বাক্যে সংক্ষিপ্ত করুন: বাংলাদেশে গত এক দশকে ইন্টারনেট ব্যবহারকারীর সংখ্যা উল্লেখযোগ্যভাবে বৃদ্ধি পেয়েছে। মোবাইল ইন্টারনেটের সহজলভ্যতা এবং সাশ্রয়ী মূল্যের স্মার্টফোনের কারণে গ্রামীণ জনগোষ্ঠীর মধ্যেও ডিজিটাল সেবার ব্যবহার বেড়েছে। তবে গ্রামীণ এলাকায় নেটওয়ার্ক মানের অসামঞ্জস্যতা এখনও একটি বড় সমস্যা হিসেবে রয়ে গেছে।","গত দশ বছরে বাংলাদেশে সাশ্রয়ী স্মার্টফোন ও মোবাইল ইন্টারনেটের বিস্তারের ফলে গ্রামীণ এলাকাতেও ডিজিটাল সেবার ব্যবহার ব্যাপকভাবে বেড়েছে। তবে গ্রামাঞ্চলে নেটওয়ার্কের মান এখনও অসামঞ্জস্যপূর্ণ, যা একটি গুরুত্বপূর্ণ চ্যালেঞ্জ হিসেবে থেকে গেছে।"
2,claude-sonnet-5,open_qa,"বাংলাদেশের জাতীয় ফুল কোনটি এবং এর সাংস্কৃতিক গুরুত্ব কী?","বাংলাদেশের জাতীয় ফুল হলো শাপলা। এটি বাংলার নদী-নালা, খাল-বিল ও জলাভূমির সাথে ঘনিষ্ঠভাবে সম্পৃক্ত এবং গ্রামীণ জীবনযাত্রার একটি চিরচেনা প্রতীক। শাপলা বাংলাদেশের জাতীয় প্রতীক ও মুদ্রায়ও ব্যবহৃত হয়, যা এর সাংস্কৃতিক ও জাতীয় গুরুত্ব নির্দেশ করে।"
3,claude-sonnet-5,formal_letter,"একজন শিক্ষার্থী হিসেবে বিশ্ববিদ্যালয়ের রেজিস্ট্রার বরাবর একটি ছুটির আবেদনপত্র লিখুন, চিকিৎসাজনিত কারণে।","বরাবর,
রেজিস্ট্রার,
নেত্রকোনা বিশ্ববিদ্যালয়।

বিষয়: চিকিৎসাজনিত কারণে ছুটির আবেদন।

জনাব,
সবিনয় নিবেদন এই যে, আমি আপনার বিশ্ববিদ্যালয়ের একজন নিয়মিত শিক্ষার্থী। বর্তমানে আমি শারীরিকভাবে অসুস্থ থাকায় চিকিৎসকের পরামর্শ অনুযায়ী বিশ্রামে থাকা প্রয়োজন। এমতাবস্থায়, আগামী সাত দিনের জন্য আমাকে ছুটি প্রদান করে বাধিত করবেন।

নিবেদক,
[শিক্ষার্থীর নাম]
[রোল নম্বর]"
4,claude-sonnet-5,dialect_rewrite,"এই বাক্যটি সিলেটি উপভাষায় লিখুন: তুমি কেমন আছো? আজ আমার সাথে বাজারে যাবে?","তুই কেমন আছোস? আজ আমার সাথে বাজারো যাইবি নি?"
5,claude-sonnet-5,creative_writing,"একটি ছোট গল্পের প্রথম অনুচ্ছেদ লিখুন যেখানে একজন জেলে নদীতে একটি অস্বাভাবিক জিনিস খুঁজে পায়।","বৃদ্ধ মাঝি করিম আলি প্রতিদিনের মতোই ভোরবেলা মেঘনার বুকে জাল ফেলেছিল। কুয়াশা তখনও কাটেনি, নদীর জল ছিল স্থির। হঠাৎ জালে ভারী কিছু একটা টান অনুভব করে সে চমকে ওঠে - এত ভোরে এমন ভারী মাছ পাওয়ার কথা না। জাল টেনে তুলতেই সে দেখল, ভেতরে একটি পুরনো কাঠের বাক্স, যার গায়ে অচেনা কোনো লিপিতে কিছু একটা লেখা।"
6,claude-sonnet-5,summarization,"নিচের অনুচ্ছেদটি দুই বাক্যে সংক্ষিপ্ত করুন: জলবায়ু পরিবর্তনের কারণে বাংলাদেশের উপকূলীয় অঞ্চলে লবণাক্ততা বৃদ্ধি পাচ্ছে, যা কৃষি উৎপাদনে নেতিবাচক প্রভাব ফেলছে। বিশেষজ্ঞরা লবণ সহনশীল ধানের জাত উদ্ভাবনের পরামর্শ দিচ্ছেন। স্থানীয় কৃষকরা ইতিমধ্যে চিংড়ি চাষের দিকে ঝুঁকছেন, যদিও এতে ভূমির দীর্ঘমেয়াদী উর্বরতা নিয়ে উদ্বেগ রয়েছে।","জলবায়ু পরিবর্তনজনিত লবণাক্ততা বৃদ্ধির ফলে বাংলাদেশের উপকূলীয় কৃষি ক্ষতিগ্রস্ত হচ্ছে, যার সমাধানে বিশেষজ্ঞরা লবণ সহনশীল ধান উদ্ভাবনের পরামর্শ দিচ্ছেন। কৃষকরা বিকল্প হিসেবে চিংড়ি চাষে ঝুঁকলেও এতে ভূমির উর্বরতা নিয়ে দীর্ঘমেয়াদী উদ্বেগ থেকে যাচ্ছে।"
7,claude-sonnet-5,open_qa,"পহেলা বৈশাখ কীভাবে উদযাপিত হয়?","পহেলা বৈশাখ বাংলা নববর্ষ, যা সাধারণত ১৪ই এপ্রিল উদযাপিত হয়। এই দিনে মঙ্গল শোভাযাত্রা, পান্তা ইলিশ খাওয়া, এবং বৈশাখী মেলার আয়োজন করা হয়। ঢাকা বিশ্ববিদ্যালয়ের চারুকলা অনুষদের মঙ্গল শোভাযাত্রা এই উৎসবের একটি বিখ্যাত অংশ এবং এটি ইউনেস্কোর ঐতিহ্যবাহী তালিকাভুক্ত।"
8,claude-sonnet-5,formal_letter,"স্থানীয় সংবাদপত্রের সম্পাদক বরাবর রাস্তার বাতি নষ্ট থাকা নিয়ে একটি অভিযোগপত্র লিখুন।","বরাবর,
সম্পাদক,
দৈনিক পত্রিকা।

বিষয়: এলাকার রাস্তার বাতি দীর্ঘদিন নষ্ট থাকা প্রসঙ্গে।

জনাব,
আমাদের এলাকার প্রধান সড়কের বাতিগুলো গত কয়েক মাস ধরে অকেজো অবস্থায় পড়ে আছে, যার ফলে সন্ধ্যার পর যাতায়াতে জনসাধারণের চরম দুর্ভোগ পোহাতে হচ্ছে। সংশ্লিষ্ট কর্তৃপক্ষের দৃষ্টি আকর্ষণ করে অনতিবিলম্বে এই সমস্যার সমাধান কামনা করছি।

বিনীত,
[প্রেরকের নাম]
[ঠিকানা]"
9,claude-sonnet-5,dialect_rewrite,"এই বাক্যটি সিলেটি উপভাষায় লিখুন: আমি কালকে ঢাকা যাব, তুমি কি সাথে আসবে?","আমি কাইলকা ঢাকা যাইমু, তুই কি লগে আইবি নি?"
10,claude-sonnet-5,creative_writing,"একটি ছোট গল্পের প্রথম অনুচ্ছেদ লিখুন যেখানে একজন শিক্ষক তার প্রথম কর্মদিবসে গ্রামের স্কুলে যান।","নতুন শিক্ষক রফিক সাহেব সাইকেল থেকে নেমে স্কুলের জীর্ণ টিনের গেটের সামনে দাঁড়ালেন। মাটির উঠোনে কয়েকটি শিশু খালি পায়ে খেলছিল, তাদের চোখে কৌতূহল স্পষ্ট। তিনি জানতেন না যে এই ছোট্ট গ্রামীণ বিদ্যালয়ে তার প্রথম দিনটি তার জীবনের একটি গুরুত্বপূর্ণ মোড় হয়ে থাকবে।"
