tokenizer,language,n_sentences,total_tokens,total_words,total_bytes,fertility,byte_efficiency,token_premium,context_shrink_pct,cost_premium_usd_per_1k
GPT-4/o200k,Bengali,2499,22791,10934,152941,2.0844155844155843,0.14901824886721024,1.6652948012507303,39.95057216001974,0.004163237003126825
GPT-4/o200k,English,2499,14159,11312,56489,1.2516796322489392,0.2506505691373542,1.0,0.0,0.0025
XLM-R,Bengali,2499,25930,10934,152941,2.371501737698921,0.16954250331827306,1.2508825728271096,20.056444807612273,
XLM-R,English,2499,21446,11312,56489,1.895862800565771,0.37964913522986776,1.0,0.0,
NLLB,Bengali,2499,23751,10934,152941,2.172215108834827,0.1552951791867452,1.156987348674054,13.568631398948893,
NLLB,English,2499,21238,11312,56489,1.8774752475247525,0.37596700242525094,1.0,0.0,
BanglaBERT,Bengali,2499,19461,10934,152941,1.7798609840863362,0.12724514682132326,0.7837818223288943,-27.58652618768891,
BanglaBERT,English,2499,25688,11312,56489,2.2708628005657707,0.45474340137017827,1.0,0.0,
MuRIL,Bengali,2499,20958,10934,152941,1.9167733674775929,0.13703323503834813,1.0500528031820684,4.766693925332987,
MuRIL,English,2499,20649,11312,56489,1.8254066478076378,0.36554019366602347,1.0,0.0,
mT5,Bengali,2499,29747,10934,152941,2.7205963051033475,0.19449983980750746,1.5074888759896679,33.66451879497293,
mT5,English,2499,20415,11312,56489,1.8047206506364921,0.3613977942608295,1.0,0.0,
